max_p,max_n,valence_p,valence_n,valence_reg,valence,valence_score,valence_score_median,valence_relative,valence_relative_bin,subject
3.0,2.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-2.6666666666666665,1.6666666666666667,1,1014
4.0,1.0,3.6666666666666665,1.0,2.6666666666666665,0,-2.6666666666666665,-2.333333333333333,-0.3333333333333335,0,DND1031
3.0,3.0,2.6666666666666665,2.0,0.6666666666666665,1,-0.6666666666666665,-1.3333333333333337,0.666666666666667,1,DND1037
4.0,2.0,3.0,1.6666666666666667,1.3333333333333333,0,-1.3333333333333333,0.16666666666666674,-1.5,0,DND1029
2.0,4.0,1.6666666666666667,3.0,-1.3333333333333333,1,1.3333333333333333,-0.6666666666666666,2.0,1,DND1073
4.0,1.0,4.0,1.0,3.0,0,-3.0,-1.6666666666666667,-1.3333333333333333,0,DND1045
2.0,3.0,1.6666666666666667,2.0,-0.3333333333333333,1,0.3333333333333333,-0.6666666666666667,1.0,1,DND1048
4.0,1.0,3.6666666666666665,1.0,2.6666666666666665,0,-2.6666666666666665,-1.3333333333333333,-1.3333333333333333,0,DND1093
5.0,1.0,3.6666666666666665,1.0,2.6666666666666665,0,-2.6666666666666665,-2.0,-0.6666666666666665,0,DND1111
4.0,3.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-1.5,0.5000000000000002,1,DND1069
3.0,2.0,2.333333333333333,1.3333333333333333,1.0000000000000002,0,-1.0000000000000002,-1.0000000000000002,0.0,1,1018
5.0,1.0,4.333333333333333,1.0,3.333333333333333,0,-3.333333333333333,-2.0,-1.333333333333333,0,DND1097
4.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,0.5,-1.8333333333333333,0,DND1042
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-1.3333333333333333,0.0,1,DND1040
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-0.6666666666666667,-0.6666666666666665,0,DND1048
4.0,1.0,3.0,1.0,2.0,0,-2.0,-2.0,0.0,1,1047
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-2.0,0.3333333333333333,1,DND1065
4.0,2.0,3.333333333333333,1.3333333333333333,2.0,0,-2.0,-2.6666666666666665,0.6666666666666665,1,DND1113
3.0,2.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-1.0000000000000002,4.440892098500626e-16,1,1008
4.0,3.0,3.333333333333333,1.6666666666666667,1.6666666666666667,0,-1.6666666666666667,-2.0,0.33333333333333304,1,DND1065
5.0,1.0,4.666666666666667,1.0,3.666666666666667,0,-3.666666666666667,-1.6666666666666667,-2.0,0,DND1045
5.0,5.0,3.6666666666666665,2.333333333333333,1.333333333333333,1,-1.333333333333333,-1.3333333333333333,2.220446049250313e-16,1,DND1105
1.0,4.0,1.0,3.0,-2.0,1,2.0,-0.3333333333333335,2.333333333333333,1,DND1050
4.0,1.0,3.0,1.0,2.0,0,-2.0,-2.0,0.0,1,DND1097
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-2.6666666666666665,1.0,1,DND1019
5.0,2.0,3.6666666666666665,1.3333333333333333,2.333333333333333,0,-2.333333333333333,-2.0,-0.33333333333333304,0,DND1039
2.0,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333335,1,-0.3333333333333335,-0.5000000000000001,0.16666666666666666,1,DND1057
5.0,3.0,3.0,1.6666666666666667,1.3333333333333333,0,-1.3333333333333333,0.16666666666666674,-1.5,0,DND1029
3.0,1.0,2.0,1.0,1.0,0,-1.0,-2.0,1.0,1,1047
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-1.6666666666666667,2.220446049250313e-16,1,DND1099
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-1.0000000000000002,-0.6666666666666663,0,1039
5.0,2.0,4.0,1.6666666666666667,2.333333333333333,0,-2.333333333333333,-2.1666666666666665,-0.16666666666666652,0,DND1005
4.0,1.0,3.333333333333333,1.0,2.333333333333333,0,-2.333333333333333,-2.0,-0.3333333333333335,0,DND1039
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-1.5,0.16666666666666674,1,DND1032
