hr_mean_10m,FTP,SDNN_5m,hr_med,steps_mean_10m,income,CR_10m,move_rate_5m,BAS_D,LAN_actual,steps_max_30m,Extraversion,hr_0.3,hr_moderate_rate_5m,very_active_rate_5m,edu_phd,rMSSD_3h,l_h_10m,step_min,low_hr_30m,move_rate_10m,P_ideal,hr_moderate_rate_10m,hr_var_30m,LAP_actual,active_rate_10m,hr_rest_rate_1h,HAP_ideal,is_single,HA_actual,low_hr_3h,hr_very_active_rate_3h,running_rate_1h,HAP_actual,steps_mean_30m,pHR2_30m,pHR2_1h,steps_median_5m,hr_std_3h,hr_moderate_rate_3h,hr_max,LAN_ideal,hr_median_10m,hr_moderate_rate_1h,CR_30m,l_h_30m,rMSSD_10m,hr_median_1h,CR_5m,NS_total,BMI,hr_0,l_h_3h,is_divorced,hr_mean_5m,rMSSD_1h,steps_max_1h,hr_rest_rate_3h,high_hr_1h,hr_mean_30m,Children,Corr_z,very_active_rate_10m,rMSSD_30m,move_rate_1h,hr_var_3h,edu_ma,HAN_actual,BAS_FS,steps_var_1h,is_widowed,steps_mean_3h,hr_var_1h,l_h_5m,steps_median_10m,hr_rest_rate_5m,steps_median_1h,very_active_rate_3h,steps_var_3h,hr_very_active_rate_5m,SDNN_1h,very_active_rate_1h,hr_median_30m,LA_ideal,hr_1,active_rate_30m,move_rate_3h,SWLS,active_rate_3h,step_median,pHR2_3h,hr_std_30m,hr_mean_3h,hr_rest_rate_10m,high_hr_3h,is_with_partner,CR_1h,hr_std_1h,SDNN_30m,high_hr_5m,hr_very_active_rate_10m,very_active_rate_30m,steps_mean_1h,is_married,N_ideal,hr_0.8,steps_mean_5m,low_hr_1h,hr_var_5m,hr_rest_rate_30m,hr_median_3h,steps_max_10m,hr_moderate_rate_30m,hr_var_10m,move_rate_30m,steps_var_30m,low_hr_10m,BIS_total,hr_std_10m,Neuroticism,running_rate_5m,Age,steps_min_3h,hr_std_5m,Conscientiousness,low_hr_5m,active_rate_5m,running_rate_3h,steps_median_30m,steps_var_10m,active_rate_1h,hr_very_active_rate_30m,HAN_ideal,HA_ideal,SDNN_10m,hr_mean_1h,hr_median_5m,running_rate_10m,LA_actual,steps_var_5m,BIS.5,running_rate_30m,SBQ,LAP_ideal,steps_median_3h,steps_min_10m,hr_min,high_hr_30m,high_hr_10m,l_h_1h,BAS_RR,steps_min_30m,steps_min_5m,steps_max_3h,survey_hour,edu_ba,r2r_corr,rMSSD_5m,step_max,steps_min_1h,N_actual,hr_very_active_rate_1h,steps_max_5m,pHR2_10m,hr_0.5,CR_3h,pHR2_5m,edu_hs,P_actual,SDNN_3h
81.91666666666667,55.0,0.0010943441146991672,85.0,12.4,9,0.7795275590551181,0.4,14.0,1.6666666666666667,76.0,160.0,77.0,0.42424242424242425,0.4,0,2.057286408463339,0.7171717171717171,0.0,69.0,0.2,4.333333333333333,0.2333333333333333,37.80066518847007,3.6,0.2,0.6901840490797546,2.8,0,2.0,63.0,0.08146067415730338,0.03333333333333333,2.6,4.133333333333334,0.1402439024390244,0.12307692307692307,0.0,10.354858595816454,0.1797752808988764,127.0,1.0,80.0,0.0705521472392638,0.7795275590551181,0.696969696969697,1.9787001382948688,76.0,0.7795275590551181,11.0,27.32892732019293,63.0,0.5526315789473685,0,85.75757575757575,1.9509366586729169,76.0,0.5552434456928839,99.0,78.65454545454546,3.0,0.3726555333713791,0.2,1.8445701462373951,0.05,107.22309653935392,1,1.3333333333333333,16.0,133.32514124293786,0,4.311111111111111,31.49821613968853,0.7676767676767676,0.0,0.18181818181818185,0.0,0.06666666666666668,209.81328367473614,0.0,0.0009179061165411317,0.03333333333333333,77.0,1.8,127.0,0.06666666666666668,0.15555555555555556,25.0,0.1,0.0,0.15182755388940955,6.148224555794141,79.60580524344569,0.31666666666666665,114.0,0,0.7795275590551181,5.612327159003521,0.0009429229239542248,99.0,0.0,0.06666666666666668,2.216666666666667,1,1.0,99.0,24.8,64.0,68.18939393939394,0.5393939393939394,77.0,76.0,0.12121212121212124,61.806497175141246,0.06666666666666668,260.94712643678156,71.0,51.0,7.861710830038284,88.0,0.4,43.0,0.0,8.257686960607913,216.0,76.0,0.4,0.04444444444444445,0.0,726.9333333333334,0.03333333333333333,0.0,1.0,2.333333333333333,0.0011248623862857164,76.41104294478528,82.0,0.2,2.0,1251.2000000000005,24.0,0.06666666666666668,60.0,4.2,0.0,0.0,63.0,99.0,99.0,0.6464646464646465,23.0,0.0,0.0,110.0,21.0,0,0.3563122937232108,1.9685019685029528,110.0,0.0,1.0,0.0,76.0,0.1864406779661017,85.0,0.8976377952755905,0.125,0,4.333333333333333,0.0015231925865016418
66.62857142857143,55.0,0.000643430134112079,65.0,5.4,9,0.8110236220472441,0.0,14.0,1.6666666666666667,21.0,160.0,58.0,0.0,0.0,0,3.1899185290533647,0.4854368932038835,0.0,50.0,0.3,4.333333333333333,0.3428571428571429,150.81856639247943,3.6,0.3,0.6044568245125348,2.8,0,2.0,42.0,0.023185483870967742,0.0,2.6,1.8,0.125,0.1787709497206704,0.0,9.661761623348877,0.18548387096774194,127.0,1.0,56.0,0.20055710306406685,0.8110236220472441,0.4854368932038835,3.1805568740372347,57.0,0.4566929133858268,11.0,27.32892732019293,42.0,0.4077669902912621,0,53.03448275862069,2.8991426203208586,21.0,0.5534274193548387,103.0,60.91351351351353,3.0,0.3726555333713791,0.1,2.2518108654842757,0.06666666666666668,93.34963766641712,1,1.3333333333333333,16.0,17.922033898305088,0,1.2055555555555555,113.4963663808531,0.8620689655172413,0.0,1.0,0.0,0.016666666666666666,60.07482929857237,0.0,0.0027034561540511017,0.016666666666666666,57.0,1.8,127.0,0.1,0.04444444444444445,25.0,0.03333333333333333,0.0,0.1644803229061554,12.280821079735649,58.940524193548384,0.5571428571428572,103.0,0,0.8110236220472441,10.653467340770003,0.002821665186397545,58.0,0.2,0.03333333333333333,1.1,1,1.0,88.0,0.0,44.0,3.4630541871921183,0.6756756756756757,58.0,21.0,0.15135135135135136,325.01946169772236,0.1,30.648275862068967,50.0,51.0,18.02829613961681,88.0,0.0,43.0,0.0,1.8609283132867096,216.0,50.0,0.0,0.011111111111111113,0.0,77.15555555555554,0.06666666666666668,0.07567567567567568,1.0,2.333333333333333,0.003763047738436162,59.72423398328691,53.0,0.0,2.0,0.0,24.0,0.0,60.0,4.2,0.0,0.0,42.0,103.0,103.0,0.4271844660194175,23.0,0.0,0.0,70.0,7.0,0,0.3563122937232108,1.224744871391589,111.0,0.0,1.0,0.03899721448467967,0.0,0.18840579710144928,65.0,0.8110236220472441,0.03571428571428571,0,4.333333333333333,0.002603410466161019
77.58904109589041,55.0,0.0011817583854159,70.0,21.8,9,0.7165354330708661,0.4,14.0,1.6666666666666667,74.0,160.0,61.0,0.7647058823529411,0.4,0,2.2597869010551555,0.7252747252747253,0.0,66.0,0.6,4.333333333333333,0.8493150684931506,154.72206600562373,3.6,0.6,0.013483146067415729,2.8,0,2.0,58.0,0.3464977645305514,0.2333333333333333,2.6,24.466666666666665,0.1724137931034483,0.1801801801801801,0.0,12.19316009198611,0.8852459016393442,127.0,1.0,77.0,0.9258426966292136,0.9212598425196852,0.5641025641025641,2.455153310442706,88.0,0.7165354330708661,11.0,27.32892732019293,42.0,0.4677419354838709,0,76.8529411764706,2.2715435082581865,86.0,0.011177347242921014,119.0,88.79828326180258,3.0,0.3726555333713791,0.4,2.2370315922730253,0.6833333333333333,148.67315302880274,1,1.3333333333333333,16.0,434.14802259887017,0,18.95,183.032614637109,0.7252747252747253,16.0,0.0,14.5,0.37777777777777777,417.26564245810056,0.1176470588235294,0.001723972977793818,0.4,86.0,1.8,127.0,0.6666666666666666,0.6722222222222223,25.0,0.5777777777777777,0.0,0.168530947054437,12.438732491923115,84.67436661698956,0.0,124.0,0,0.9370078740157479,13.528954676437829,0.0015705176425912235,91.0,0.0547945205479452,0.5333333333333333,19.566666666666666,1,1.0,88.0,19.2,58.0,51.94741532976828,0.0,83.0,74.0,0.9527896995708156,38.74543378995434,0.7333333333333333,484.53333333333336,66.0,51.0,6.224583021372143,88.0,0.2,43.0,0.0,7.207455537828054,216.0,66.0,0.4,0.2388888888888889,23.0,742.6222222222223,0.5833333333333334,0.4463519313304721,1.0,2.333333333333333,0.0010276743383943851,89.05842696629213,75.0,0.2,2.0,1029.1999999999996,24.0,0.3333333333333333,60.0,4.2,14.5,0.0,42.0,117.0,91.0,0.4873949579831933,23.0,0.0,0.0,102.0,16.0,0,0.3563122937232108,2.0375267241229382,111.0,0.0,1.0,0.4764044943820225,74.0,0.16666666666666666,70.0,0.9763779527559056,0.18181818181818185,0,4.333333333333333,0.0016899191008223373
72.17808219178082,55.0,0.0005219833634637419,67.0,0.0,9,0.6259541984732825,0.0,14.0,1.6666666666666667,0.0,160.0,58.0,1.0,0.0,0,2.2439641983674314,0.7926829268292683,0.0,65.0,0.0,4.333333333333333,0.9315068493150684,10.887363184079602,3.6,0.0,0.0125,2.8,0,2.0,43.0,0.1413793103448276,0.05,2.6,0.0,0.01,0.07769423558897243,0.0,12.917908364754211,0.7094827586206897,131.0,1.0,72.0,0.835,0.6259541984732825,0.7926829268292683,1.2018504251546631,72.0,0.6259541984732825,11.0,27.32892732019293,42.0,0.38738738738738737,0,74.0,1.8698236819293308,72.0,0.11724137931034485,101.0,71.22885572139303,3.0,0.3726555333713791,0.0,1.0464224768228174,0.06666666666666668,166.87235652018688,1,1.3333333333333333,16.0,193.6483050847457,0,3.75,40.655413533834576,0.8414634146341463,0.0,0.0,0.0,0.06111111111111111,124.61312849162012,0.0,0.0011871644658285575,0.05,71.0,1.8,131.0,0.0,0.16666666666666666,25.0,0.10555555555555557,0.0,0.12510785159620366,3.2996004582493925,73.07155172413793,0.0,111.0,0,0.7709923664122137,6.376159779509496,0.0006383003288969415,82.0,0.0,0.0,3.25,1,1.0,87.0,0.0,57.0,8.648648648648653,0.0,72.0,0.0,0.8855721393034826,10.87062404870624,0.0,0.0,65.0,51.0,3.2970629427880564,88.0,0.0,43.0,0.0,2.940858488375232,216.0,69.0,0.0,0.03888888888888889,0.0,0.0,0.05,0.0,1.0,2.333333333333333,0.000623548749827438,72.535,73.5,0.0,2.0,0.0,24.0,0.0,60.0,4.2,0.0,0.0,42.0,82.0,82.0,0.5643564356435643,23.0,0.0,0.0,72.0,8.0,0,0.3563122937232108,1.4142135623730951,111.0,0.0,1.0,0.02,0.0,0.027777777777777776,67.0,0.8473282442748091,0.054054054054054064,0,4.333333333333333,0.002444690172530159
81.32075471698113,55.0,0.00025188858932679984,71.0,0.0,9,0.648854961832061,0.0,14.0,1.6666666666666667,31.0,160.0,60.0,1.0,0.0,0,2.0727573421119563,0.9294117647058824,0.0,77.0,0.0,4.333333333333333,1.0,77.16821386603995,3.6,0.0,0.0,2.8,0,2.0,65.0,0.6974063400576369,0.26666666666666666,2.6,2.9,0.04891304347826087,0.11556603773584904,0.0,10.910271835652614,0.9884726224783862,131.0,1.0,81.0,1.0,0.8473282442748091,0.6936936936936937,0.8204126541423671,100.0,0.6412213740458015,11.0,27.32892732019293,42.0,0.5078125,0,81.84615384615384,1.631789155821488,87.0,0.0,115.0,85.5837837837838,3.0,0.3726555333713791,0.0,1.2423680054112651,0.55,119.03403152783459,1,1.3333333333333333,16.0,535.3457627118646,0,26.577777777777786,119.76831298557155,0.9404761904761904,0.0,0.0,14.0,0.55,496.8039726877716,0.0,0.0012383559629192574,0.3666666666666665,82.0,1.8,131.0,0.13333333333333333,0.7666666666666667,25.0,0.7277777777777777,0.0,0.17087238644556596,8.784544032904607,98.66282420749279,0.0,128.0,0,0.8778625954198473,10.943871023800106,0.0011213776718621714,84.0,0.0,0.06666666666666668,19.1,1,1.0,94.0,0.0,77.0,2.935384615384616,0.0,100.0,0.0,1.0,2.914368650217705,0.13333333333333333,61.61034482758623,79.0,51.0,1.7071522047602274,88.0,0.0,43.0,0.0,1.7132964178403618,216.0,79.0,0.0,0.38333333333333336,0.0,0.0,0.5166666666666667,0.1945945945945946,1.0,2.333333333333333,0.00025498175865354926,95.4235294117647,82.5,0.0,2.0,0.0,24.0,0.03333333333333333,60.0,4.2,22.5,0.0,42.0,111.0,85.0,0.6695652173913044,23.0,0.0,0.0,87.0,13.0,0,0.3563122937232108,0.7211102550927979,111.0,0.0,1.0,0.6282352941176471,0.0,0.0,71.0,0.9770992366412212,0.0,0,4.333333333333333,0.0011685377439417015
117.14444444444445,55.0,0.0007298847152259907,73.0,52.8,9,0.8717948717948718,0.8,14.0,1.6666666666666667,126.0,160.0,61.0,1.0,0.6,0,2.9902149479876425,0.7279411764705882,0.0,87.0,0.8,4.333333333333333,1.0,176.57806691449815,3.6,0.8,0.0,2.8,0,2.0,56.0,0.5661047027506655,0.65,2.6,54.33333333333334,0.2936802973977695,0.336976320582878,36.0,19.573841233189945,0.9352262644188108,156.0,1.0,117.5,1.0,1.0,0.5576923076923077,2.6899730586345614,114.0,0.8717948717948718,11.0,27.32892732019293,42.0,0.35897435897435903,0,118.21428571428572,3.2309410337500943,126.0,0.014196983141082519,156.0,120.83333333333331,3.0,0.3726555333713791,0.7,3.3639240672333144,0.85,383.1352606221267,1,1.3333333333333333,16.0,1608.897175141243,0,22.95555555555556,245.9869647292598,0.7279411764705882,52.0,0.0,49.0,0.35,1129.4617008069522,1.0,0.0012195031973232398,0.7166666666666667,120.5,1.8,156.0,0.7333333333333333,0.4944444444444445,25.0,0.4388888888888889,0.0,0.25488454706927177,13.288268017860648,101.08784383318545,0.0,156.0,0,1.0,15.683971586599483,0.0009061011301519404,136.0,1.0,0.7,52.13333333333333,1,1.0,96.0,31.4,78.0,107.29442508710804,0.0,101.0,121.0,1.0,76.1923845193508,0.7666666666666667,1990.7126436781607,99.0,51.0,8.7288249220242,88.0,0.6,43.0,0.0,10.358302229955836,216.0,99.0,0.8,0.2777777777777778,49.0,1835.0666666666666,0.8,0.9703703703703704,1.0,2.333333333333333,0.0006309192118585762,113.62545454545456,117.5,0.7,2.0,520.3,24.0,0.6666666666666666,60.0,4.2,0.0,0.0,42.0,156.0,136.0,0.5,23.0,0.0,0.0,126.0,19.0,0,0.3563122937232108,2.7541542900967872,126.0,0.0,1.0,0.84,55.0,0.24719101123595505,73.0,1.0,0.2926829268292683,0,4.333333333333333,0.001966759829309068
92.05970149253731,55.0,0.00024379953187839967,71.0,9.4,9,0.6282051282051282,0.6,14.0,1.6666666666666667,64.0,160.0,59.0,1.0,0.2,0,1.8446439558256105,0.8877551020408163,0.0,85.0,0.6,4.333333333333333,1.0,21.936577841366358,3.6,0.4,0.0,2.8,0,2.0,56.0,0.27091633466135456,0.3,2.6,18.83333333333333,0.10426540284360188,0.1282051282051282,6.0,10.67097608688122,0.9338645418326692,156.0,1.0,92.0,1.0,0.7051282051282052,0.7727272727272727,1.3483997249264843,96.0,0.6217948717948718,11.0,27.32892732019293,42.0,0.4912280701754386,0,91.51428571428572,1.7987304510212851,76.0,0.007171314741035857,114.0,95.9575471698113,3.0,0.3726555333713791,0.2,1.7686045587717047,0.85,113.86973064679084,1,1.3333333333333333,16.0,371.5920903954801,0,13.716666666666667,36.803794654957436,0.8969072164948454,6.5,0.0,18.5,0.2611111111111111,350.6287709497206,0.11428571428571427,0.0006392094956619676,0.43333333333333335,95.0,1.8,156.0,0.6333333333333333,0.5166666666666667,25.0,0.4166666666666667,0.0,0.12121212121212124,4.683650055391238,87.26533864541832,0.0,114.0,0,0.7307692307692307,6.066613112351687,0.0005061271618285551,97.0,0.20895522388059692,0.3666666666666665,22.966666666666665,1,1.0,94.0,7.0,85.0,4.315966386554621,0.0,88.0,28.0,1.0,5.60244233378562,0.8,289.7298850574712,87.0,51.0,2.366947894184749,88.0,0.0,43.0,0.0,2.0774904058875028,216.0,87.0,0.2,0.18333333333333326,15.5,106.04444444444445,0.6833333333333333,0.6037735849056604,1.0,2.333333333333333,0.0002760157054549727,96.73953488372094,91.0,0.0,2.0,81.0,24.0,0.2333333333333333,60.0,4.2,6.0,0.0,42.0,110.0,98.0,0.7456140350877193,23.0,0.0,0.0,88.0,10.0,0,0.3563122937232108,1.3284223283101428,126.0,0.0,1.0,0.5906976744186047,22.0,0.060606060606060615,71.0,0.7307692307692307,0.05882352941176471,0,4.333333333333333,0.0014327308426160625
97.9746835443038,55.0,0.0002669712758770005,73.0,24.7,9,0.6794871794871795,1.0,14.0,1.6666666666666667,77.0,160.0,59.0,1.0,0.8,0,1.7157849082856482,0.8396226415094341,0.0,89.0,0.8,4.333333333333333,1.0,24.768631393741355,3.6,0.7,0.0,2.8,0,2.0,76.0,0.5872138910812944,0.4,2.6,31.7,0.12385321100917432,0.1108490566037736,44.0,7.126217478103176,1.0,156.0,1.0,98.0,1.0,0.7307692307692307,0.7807017543859649,1.8570724134287144,102.0,0.6602564102564102,11.0,27.32892732019293,42.0,0.6440677966101694,0,97.52272727272728,1.6026216728894858,77.0,0.0,118.0,102.72602739726028,3.0,0.3726555333713791,0.4,1.6041803188584642,0.8833333333333333,50.78297554522321,1,1.3333333333333333,16.0,435.6370056497175,0,25.566666666666666,45.29702552719201,0.9029126213592232,18.0,0.0,23.5,0.4777777777777778,490.38100558659215,0.5681818181818182,0.0006648292957204044,0.5333333333333333,103.0,1.8,156.0,0.8,0.8222222222222222,25.0,0.6611111111111111,0.0,0.12006319115323855,4.976809358790163,98.42304656669296,0.0,118.0,0,0.7564102564102564,6.730306495783977,0.00047781954347026346,103.0,0.6329113924050633,0.5333333333333333,28.58333333333333,1,1.0,96.0,41.0,87.0,6.6273784355179695,0.0,98.0,56.0,1.0,15.10191496267446,0.9333333333333332,469.1137931034482,89.0,51.0,3.8861182383806163,88.0,0.8,43.0,0.0,2.574369521944736,216.0,93.0,1.0,0.3555555555555556,26.0,432.9,0.7833333333333333,0.867579908675799,1.0,2.333333333333333,0.00040603056325851404,101.23294117647059,97.5,0.4,2.0,231.5,24.0,0.4666666666666667,60.0,4.2,19.0,0.0,42.0,114.0,106.0,0.7372881355932204,23.0,0.0,17.0,77.0,13.0,0,0.3563122937232108,2.005805527451125,126.0,0.0,1.0,0.7529411764705882,56.0,0.15384615384615385,73.0,0.7564102564102564,0.16279069767441862,0,4.333333333333333,0.0007442493290683353
102.2,55.0,0.002107828830731996,75.0,39.2,9,0.7901234567901234,0.6,14.0,1.6666666666666667,148.0,160.0,61.0,0.7560975609756098,0.4,0,2.130422988756983,0.5,0.0,64.0,0.7,4.333333333333333,0.8666666666666667,537.9739972337484,3.6,0.6,0.0,2.8,0,2.0,64.0,0.52265625,0.43333333333333335,2.6,86.5,0.14583333333333334,0.16777041942604856,18.0,20.761772247096463,0.959375,162.0,1.0,106.0,0.9779735682819384,1.0,0.3950617283950617,3.4288127328211955,108.0,0.6975308641975309,11.0,27.32892732019293,42.0,0.3950617283950617,0,93.56097560975607,2.3012617711843104,148.0,0.0,162.0,125.60165975103737,3.0,0.3726555333713791,0.5,2.4899799195977463,0.65,431.05118684030487,1,1.3333333333333333,16.0,3329.456497175141,0,29.66666666666667,517.1232070095593,0.5663716814159292,26.5,0.0,17.0,0.34444444444444444,1940.8826815642456,0.5609756097560976,0.0017840214616561953,0.4666666666666667,126.0,1.8,162.0,0.8,0.4722222222222222,25.0,0.42777777777777776,0.0,0.17670054730258014,23.194266473284912,101.38984375,0.0,162.0,0,1.0,22.740343159450326,0.0016136489043418625,113.0,0.76,0.7333333333333333,48.36666666666667,1,1.0,96.0,33.6,64.0,285.90243902439016,0.0,99.0,90.0,0.95850622406639,273.4324324324325,0.8333333333333334,3523.1551724137926,64.0,51.0,16.535792464603336,88.0,0.4,43.0,0.0,16.908649828546046,216.0,64.0,0.6,0.32222222222222224,90.0,1573.7333333333331,0.5666666666666667,0.925311203319502,1.0,2.333333333333333,0.0017957412188218363,112.88325991189429,102.0,0.5,2.0,1594.8,24.0,0.7333333333333333,60.0,4.2,0.0,0.0,42.0,162.0,128.0,0.3950617283950617,23.0,0.0,0.0,148.0,20.0,0,0.3563122937232108,4.29243520626695,148.0,0.0,1.0,0.7995594713656388,90.0,0.21621621621621626,75.0,1.0,0.275,0,4.333333333333333,0.0019552155280515237
106.79012345679013,55.0,0.0004794724959510745,74.0,38.7,9,0.7469135802469136,1.0,14.0,1.6666666666666667,81.0,160.0,60.0,1.0,1.0,0,1.862976172397552,0.7851239669421488,0.0,90.0,1.0,4.333333333333333,1.0,42.84016655989751,3.6,1.0,0.0,2.8,0,2.0,63.0,0.55703125,0.45,2.6,33.93333333333333,0.12556053811659193,0.1372093023255814,43.0,12.614041063773394,0.89609375,162.0,1.0,107.0,1.0,0.7469135802469136,0.743801652892562,1.984313483298444,103.0,0.7037037037037037,11.0,27.32892732019293,42.0,0.5206611570247934,0,104.65116279069768,1.7849500025569085,81.0,0.0,121.0,105.55357142857143,3.0,0.3726555333713791,1.0,1.7679254899787469,0.8833333333333333,159.11403195856138,1,1.3333333333333333,16.0,368.17627118644066,0,21.844444444444445,63.43545027788269,0.8333333333333334,39.0,0.0,27.5,0.4833333333333333,425.5957790192426,0.8837209302325582,0.0007757249594471881,0.65,106.0,1.8,162.0,0.9,0.7111111111111111,25.0,0.6444444444444445,0.0,0.1344800625488663,6.545239992536369,94.7609375,0.0,121.0,0,0.7469135802469136,7.964637485653862,0.0005913962608288296,114.0,0.9382716049382716,0.6666666666666666,28.6,1,1.0,96.0,41.0,85.0,27.423034330011074,0.0,98.0,48.0,1.0,28.19290123456791,0.9333333333333332,434.6160919540229,95.0,51.0,5.309698789438805,88.0,1.0,43.0,0.0,5.236700710372044,216.0,95.0,1.0,0.32222222222222224,35.0,36.45555555555556,0.8166666666666667,0.875,1.0,2.333333333333333,0.0004663623180751508,101.82134570765663,106.0,0.9,2.0,10.5,24.0,0.5666666666666667,60.0,4.2,20.0,29.0,42.0,121.0,121.0,0.7024793388429752,23.0,0.0,37.0,106.0,10.0,0,0.3563122937232108,2.209287754221342,148.0,0.0,1.0,0.7192575406032483,44.0,0.175,74.0,0.7469135802469136,0.21428571428571427,0,4.333333333333333,0.0015004621002363506
